,strain,serotype,serovar,isolation_source,country,state,collection_date,type_material,culture_collection,note,concat_pub
GCF_020529885.1,KSM193,NA,NA,oral cavity,Japan,NA,2011-01/2011-08,NA,NA,NA," 1. Watanabe,A., Kawada-Matsuo,M., Le,M.N., Hisatsune,J., Oogai,Y., Nakano,Y., Nakata,M., Miyawaki,S., Sugai,M. and Komatsuzawa,H.  Comprehensive analysis of bacteriocins in Streptococcus mutans. Sci Rep 11 (1), 12963 (2021). 2. Le,M.N.T., Komatsuzawa,H. and Matsuo,M.  Direct Submission. Submitted (07-OCT-2021) Bacteriology, Hiroshima University, 1-2-3 Kasumi Minami-ku, Hiroshima, Hiroshima 7348551, Japan. "
GCF_000522845.1,B88SM-A,NA,NA,oral cavity,USA,NA,2008,NA,NA,NA," 1. Argimon,S., Konganti,K., Chen,H., Alekseyenko,A.V., Brown,S. and Caufield,P.W.  Comparative genomics of oral isolates of Streptococcus mutans by in silico genome subtraction does not reveal accessory DNA associated with severe early childhood caries. Infect Genet Evol 21, 269-278 (2014). 2. Argimon,S., Brown,S. and Caufield,P.  Direct Submission. Submitted (22-AUG-2012) New York University College of Dentistry, 345 East 24th St, New York, NY 10010, USA. "
GCF_020531205.1,KSM17,NA,NA,oral cavity,Japan,NA,2011-01/2011-08,NA,NA,NA," 1. Watanabe,A., Kawada-Matsuo,M., Le,M.N., Hisatsune,J., Oogai,Y., Nakano,Y., Nakata,M., Miyawaki,S., Sugai,M. and Komatsuzawa,H.  Comprehensive analysis of bacteriocins in Streptococcus mutans. Sci Rep 11 (1), 12963 (2021). 2. Le,M.N.T., Komatsuzawa,H. and Matsuo,M.  Direct Submission. Submitted (07-OCT-2021) Bacteriology, Hiroshima University, 1-2-3 Kasumi Minami-ku, Hiroshima, Hiroshima 7348551, Japan. "
GCF_000229525.1,TCI-223,NA,NA,dental plaque,Brazil,NA,2009,NA,NA,NA," 1. Snesrud,E.C., Bretz,W.A., Ong,K., Liu,J., Sanka,R., Singh,I., Venepally,P. and Peterson,S.N.  Direct Submission. Submitted (26-SEP-2011) The J. Craig Venter Institute, 9704 Medical Center Dr., Rockville, MD 20850, USA. "
GCF_020531405.1,KSM238,NA,NA,oral cavity,Japan,NA,2011-01/2011-08,NA,NA,NA," 1. Watanabe,A., Kawada-Matsuo,M., Le,M.N., Hisatsune,J., Oogai,Y., Nakano,Y., Nakata,M., Miyawaki,S., Sugai,M. and Komatsuzawa,H.  Comprehensive analysis of bacteriocins in Streptococcus mutans. Sci Rep 11 (1), 12963 (2021). 2. Le,M.N.T., Matsuo,M., Hisatsune,J., Sugai,M. and Komatsuzawa,H.  Direct Submission. Submitted (08-OCT-2021) Bacteriology, Hiroshima University, 1-2-3 Kasumi Minami-ku, Hiroshima, Hiroshima 7348551, Japan. "
GCF_012641805.1,UAB-40,C,NA,plaque,USA,Alabama,2011-04,NA,NA,NA," 1. Momeni,S.S., Beno,S.M., Baker,J.L., Edlund,A., Ghazal,T., Childers,N.K. and Wu,H.  Caries-Associated Biosynthetic Gene Clusters in Streptococcus mutans. J Dent Res 99 (8), 969-976 (2020). 2. Momeni,S. and Childers,N.K.  Direct Submission. Submitted (13-DEC-2018) Pediatric Dentistry, University of Alabama at Birmingham, LHRB 238, 701 19th Street South, Birmingham, AL 35294-0007, USA. "
GCF_012642225.1,UAB-10,C,NA,plaque,USA,Alabama,2010-10-19,NA,NA,NA," 1. Momeni,S.S., Beno,S.M., Baker,J.L., Edlund,A., Ghazal,T., Childers,N.K. and Wu,H.  Caries-Associated Biosynthetic Gene Clusters in Streptococcus mutans. J Dent Res 99 (8), 969-976 (2020). 2. Momeni,S. and Childers,N.K.  Direct Submission. Submitted (21-DEC-2018) Pediatric Dentistry, University of Alabama at Birmingham, LHRB 238, 701 19th Street South, Birmingham, AL 35294-0007, USA. "
GCF_009738105.1,NCH105,NA,NA,NA,USA,Charlotte,1996-03,NA,ATCC:700069,NA," 1. Garrett,S.C., Graveley,B.R. and Olson,S.  Complete genome of Streptococcus mutans NCH105, a fluoride resistant strain. Unpublished. 2. Garrett,S.C., Graveley,B.R. and Olson,S.  Direct Submission. Submitted (20-SEP-2019) Genetics and Genome Sciences, UConn Health, 400 Farmington Ave., Farmington, CT 06032, USA. "
GCF_020530305.1,KSM76,NA,NA,oral cavity,Japan,NA,2011-01/2011-08,NA,NA,NA," 1. Watanabe,A., Kawada-Matsuo,M., Le,M.N., Hisatsune,J., Oogai,Y., Nakano,Y., Nakata,M., Miyawaki,S., Sugai,M. and Komatsuzawa,H.  Comprehensive analysis of bacteriocins in Streptococcus mutans. Sci Rep 11 (1), 12963 (2021). 2. Le,M.N.T., Komatsuzawa,H. and Matsuo,M.  Direct Submission. Submitted (07-OCT-2021) Bacteriology, Hiroshima University, 1-2-3 Kasumi Minami-ku, Hiroshima, Hiroshima 7348551, Japan. "
GCF_008831325.1,MD,NA,NA,Oral cavity,Brazil,SaoPaolo,NA,NA,NA,NA," 1. Biswas,I.  Streptococcus mutans Genome sequencing and assembly. Unpublished. 2. Biswas,I.  Direct Submission. Submitted (27-SEP-2019) Department of Microbiology, Molecular Genetics and Immunology, University of Kansas Medical Center, 3901 Rainbow Blvd, Kansas City, KS 66160, USA. "
GCF_020529645.1,KSM225,NA,NA,oral cavity,Japan,NA,2011-01/2011-08,NA,NA,NA," 1. Watanabe,A., Kawada-Matsuo,M., Le,M.N., Hisatsune,J., Oogai,Y., Nakano,Y., Nakata,M., Miyawaki,S., Sugai,M. and Komatsuzawa,H.  Comprehensive analysis of bacteriocins in Streptococcus mutans. Sci Rep 11 (1), 12963 (2021). 2. Le,M.N.T., Matsuo,M., Hisatsune,J., Sugai,M. and Komatsuzawa,H.  Direct Submission. Submitted (08-OCT-2021) Bacteriology, Hiroshima University, 1-2-3 Kasumi Minami-ku, Hiroshima, Hiroshima 7348551, Japan. "
GCF_020530345.1,KSM78,NA,NA,oral cavity,Japan,NA,2011-01/2011-08,NA,NA,NA," 1. Watanabe,A., Kawada-Matsuo,M., Le,M.N., Hisatsune,J., Oogai,Y., Nakano,Y., Nakata,M., Miyawaki,S., Sugai,M. and Komatsuzawa,H.  Comprehensive analysis of bacteriocins in Streptococcus mutans. Sci Rep 11 (1), 12963 (2021). 2. Le,M.N.T., Matsuo,M., Hisatsune,J., Sugai,M. and Komatsuzawa,H.  Direct Submission. Submitted (08-OCT-2021) Bacteriology, Hiroshima University, 1-2-3 Kasumi Minami-ku, Hiroshima, Hiroshima 7348551, Japan. "
GCF_000347835.1,KK23,c,NA,enamel caries of a child,Germany,Jena,NA,NA,NA,NA," 1. Song,L., Wang,W., Conrads,G., Rheinberg,A., Sztajer,H., Reck,M., Wagner-Dobler,I. and Zeng,A.P.  Genetic variability of mutans streptococci revealed by wide whole-genome sequencing. BMC Genomics 14, 430 (2013). 2. Song,L., Wang,W., Conrads,G., Wagner-Dobler,I. and Zeng,A.-P.  Direct Submission. Submitted (28-DEC-2012) Technical University of Hamburg-Harburg, Institute of Bioprocess and Biosystems Engineering, Denickestr.15, Hamburg 21071, Germany. "
GCF_020530685.1,KSM128,NA,NA,oral cavity,Japan,NA,2011-01/2011-08,NA,NA,NA," 1. Watanabe,A., Kawada-Matsuo,M., Le,M.N., Hisatsune,J., Oogai,Y., Nakano,Y., Nakata,M., Miyawaki,S., Sugai,M. and Komatsuzawa,H.  Comprehensive analysis of bacteriocins in Streptococcus mutans. Sci Rep 11 (1), 12963 (2021). 2. Le,M.N.T., Komatsuzawa,H. and Matsuo,M.  Direct Submission. Submitted (07-OCT-2021) Bacteriology, Hiroshima University, 1-2-3 Kasumi Minami-ku, Hiroshima, Hiroshima 7348551, Japan. "
GCF_012642405.1,UAB-1,C,NA,plaque,USA,Alabama,2009-02-10,NA,NA,NA," 1. Momeni,S.S., Beno,S.M., Baker,J.L., Edlund,A., Ghazal,T., Childers,N.K. and Wu,H.  Caries-Associated Biosynthetic Gene Clusters in Streptococcus mutans. J Dent Res 99 (8), 969-976 (2020). 2. Momeni,S. and Childers,N.K.  Direct Submission. Submitted (21-DEC-2018) Pediatric Dentistry, University of Alabama at Birmingham, LHRB 238, 701 19th Street South, Birmingham, AL 35294-0007, USA. "
GCF_000496555.1,PKUSS-LG01,NA,NA,dental plaque,China,Beijing,2003-07,NA,NA,NA," 1. Zheng,H., Guo,L., Du,N., Lin,J., Song,L., Liu,G. and Chen,F.  Draft Genome Sequences of Two Clinical Isolates of Streptococcus mutans. Genome Announc 2 (3), e00441-14 (2014). 2. Zheng,H., Guo,L., Du,N., Lin,J., Song,L., Liu,G. and Chen,F.  Direct Submission. Submitted (22-OCT-2013) Department of Orthodontics, Central Laboratory, School of Stomatology, Peking University, No.5 Yiheyuan Road, Haidian District, Beijing 100871, China. "
GCF_020530665.1,KSM140,NA,NA,oral cavity,Japan,NA,2011-01/2011-08,NA,NA,NA," 1. Watanabe,A., Kawada-Matsuo,M., Le,M.N., Hisatsune,J., Oogai,Y., Nakano,Y., Nakata,M., Miyawaki,S., Sugai,M. and Komatsuzawa,H.  Comprehensive analysis of bacteriocins in Streptococcus mutans. Sci Rep 11 (1), 12963 (2021). 2. Le,M.N.T., Komatsuzawa,H. and Matsuo,M.  Direct Submission. Submitted (07-OCT-2021) Bacteriology, Hiroshima University, 1-2-3 Kasumi Minami-ku, Hiroshima, Hiroshima 7348551, Japan. "
GCF_000347855.1,AC4446,c,NA,a confirmed case of infective endocarditis,Germany,Dillingen,NA,NA,NA,NA," 1. Song,L., Wang,W., Conrads,G., Rheinberg,A., Sztajer,H., Reck,M., Wagner-Dobler,I. and Zeng,A.P.  Genetic variability of mutans streptococci revealed by wide whole-genome sequencing. BMC Genomics 14, 430 (2013). 2. Song,L., Wang,W., Conrads,G., Wagner-Dobler,I. and Zeng,A.-P.  Direct Submission. Submitted (28-DEC-2012) Technical University of Hamburg-Harburg, Institute of Bioprocess and Biosystems Engineering, Denickestr.15, Hamburg 21071, Germany. "
GCF_012642035.1,UAB-26,C,NA,plaque,USA,Alabama,2009-08-18,NA,NA,NA," 1. Momeni,S.S., Beno,S.M., Baker,J.L., Edlund,A., Ghazal,T., Childers,N.K. and Wu,H.  Caries-Associated Biosynthetic Gene Clusters in Streptococcus mutans. J Dent Res 99 (8), 969-976 (2020). 2. Momeni,S. and Childers,N.K.  Direct Submission. Submitted (13-DEC-2018) Pediatric Dentistry, University of Alabama at Birmingham, LHRB 238, 701 19th Street South, Birmingham, AL 35294-0007, USA. "
GCF_002212855.1,PKUSS-2,NA,NA,NA,China,NA,NA,NA,NA,NA," 1. Meng,P., Lu,C., Lin,J. and Chen,F.  Exploring the genomic diversity and cariogenic differences of Streptococcus mutans strains through pan-genome and comparative genome analysis. Unpublished. 2. Meng,P., Lu,C., Lin,J. and Chen,F.  Direct Submission. Submitted (26-MAR-2017) Department of Orthodontics, Peking University School of Stomatology, 22th South Venue, Zhongguan Village, Beijing 100081, China. "
GCF_000339835.1,M21,NA,NA,oral cavity,United Kingdom,NA,2006,NA,NA,NA," 1. Cornejo,O.E., Lefebure,T., Bitar,P.D., Lang,P., Richards,V.P., Eilertson,K., Do,T., Beighton,D., Zeng,L., Ahn,S.J., Burne,R.A., Siepel,A., Bustamante,C.D. and Stanhope,M.J.  Evolutionary and population genomics of the cavity causing bacteria Streptococcus mutans. Mol Biol Evol 30 (4), 881-893 (2013). 2. Lefebure,T., Suzuki,H., Pavinski Bitar,P.D., Burne,R.A. and Stanhope,M.J.  Direct Submission. Submitted (09-JUL-2010) Population Medicine and Diagnostic Sciences, Cornell University, Ithaca, NY 14853, USA. "
GCF_000229545.1,TCI-224,NA,NA,dental plaque,Brazil,NA,2009,NA,NA,NA," 1. Snesrud,E.C., Bretz,W.A., Ong,K., Liu,J., Sanka,R., Singh,I., Venepally,P. and Peterson,S.N.  Direct Submission. Submitted (26-SEP-2011) The J. Craig Venter Institute, 9704 Medical Center Dr., Rockville, MD 20850, USA. "
GCF_024762195.1,COCC33-14,NA,NA,dental plaque,China,Chengdu,2020-11-18,NA,NA,NA," 1. Li,X., Wang,Y., Jiang,X., Zeng,Y., Zhao,X., Washio,J. and Zhang,L.  Investigation of drug resistance of caries-related streptococci to antimicrobial peptide GH12. Front Cell Infect Microbiol (2022) In press. 2. Wang,Y., Li,X. and Zhang,L.  Direct Submission. Submitted (26-JUL-2022) West China School of Stomatology, Sichuan University, NO 14 Section 3 of South Renmin Road, Chengdu 610041, China. "
GCF_002083175.2,FDAARGOS_258,NA,NA,Blood,USA,DC,2014-08-27,NA,FDA:FDAARGOS_258,NA," 1. Campos,J., Goldberg,B., Tallon,L.J., Sadzewicz,L., Sengamalay,N., Ott,S., Godinez,A., Nagaraj,S., Vyas,G., Aluvathingal,J., Nadendla,S., Geyer,C., Nandy,P., Hobson,J. and Sichtig,H.  FDA dAtabase for Regulatory Grade micrObial Sequences (FDA-ARGOS): Supporting development and validation of Infectious Disease Dx tests. Unpublished. 2. Campos,J., Goldberg,B., Tallon,L.J., Sadzewicz,L., Sengamalay,N., Ott,S., Godinez,A., Nagaraj,S., Vyas,G., Aluvathingal,J., Nadendla,S., Geyer,C., Nandy,P., Hobson,J. and Sichtig,H.  FDA dAtabase for Regulatory Grade micrObial Sequences (FDA-ARGOS): Supporting development and validation of Infectious Disease Dx tests. Unpublished. 3. Campos,J., Goldberg,B., Tallon,L.J., Sadzewicz,L., Sengamalay,N., Ott,S., Godinez,A., Nagaraj,S., Vyas,G., Aluvathingal,J., Nadendla,S., Geyer,C., Nandy,P., Hobson,J. and Sichtig,H.  Direct Submission. Submitted (09-DEC-2017) Center for Devices and Radiological Health, US Food and Drug Administration, 10903 New Hampshire Avenue, Silver Spring, MD 20993-0002, USA. 4. Campos,J., Goldberg,B., Tallon,L.J., Sadzewicz,L., Sengamalay,N., Ott,S., Godinez,A., Nagaraj,S., Vyas,G., Aluvathingal,J., Nadendla,S., Geyer,C., Nandy,P., Hobson,J. and Sichtig,H.  Direct Submission. Submitted (09-DEC-2017) Center for Devices and Radiological Health, US Food and Drug Administration, 10903 New Hampshire Avenue, Silver Spring, MD 20993-0002, USA. 5. Goldberg,B., Campos,J., Tallon,L., Sadzewicz,L., Sengamalay,N., Ott,S., Godinez,A., Nagaraj,S., Nadendla,S., Geyer,C. and Sichtig,H.  Direct Submission. Submitted (18-JUL-2016) Institute for Genome Sciences, University of Maryland, 801 W.Baltimore Street, Baltimore, MD 21201, USA. 6. Goldberg,B., Campos,J., Tallon,L., Sadzewicz,L., Sengamalay,N., Ott,S., Godinez,A., Nagaraj,S., Nadendla,S., Geyer,C. and Sichtig,H.  Direct Submission. Submitted (18-JUL-2016) Institute for Genome Sciences, University of Maryland, 801 W.Baltimore Street, Baltimore, MD 21201, USA. "
GCF_000228805.1,TCI-110,NA,NA,dental plaque,Brazil,NA,2009,NA,NA,NA," 1. Snesrud,E.C., Bretz,W.A., Ong,K., Liu,J., Sanka,R., Singh,I., Venepally,P. and Peterson,S.N.  Direct Submission. Submitted (26-SEP-2011) The J. Craig Venter Institute, 9704 Medical Center Dr., Rockville, MD 20850, USA. "
GCF_012641765.1,UAB-38,K,NA,plaque,USA,Alabama,2008-09-09,NA,NA,NA," 1. Momeni,S.S., Beno,S.M., Baker,J.L., Edlund,A., Ghazal,T., Childers,N.K. and Wu,H.  Caries-Associated Biosynthetic Gene Clusters in Streptococcus mutans. J Dent Res 99 (8), 969-976 (2020). 2. Momeni,S. and Childers,N.K.  Direct Submission. Submitted (21-DEC-2018) Pediatric Dentistry, University of Alabama at Birmingham, LHRB 238, 701 19th Street South, Birmingham, AL 35294-0007, USA. "
GCF_000339575.1,SM1,NA,NA,oral cavity,China,HongKong,2001,NA,NA,NA," 1. Cornejo,O.E., Lefebure,T., Bitar,P.D., Lang,P., Richards,V.P., Eilertson,K., Do,T., Beighton,D., Zeng,L., Ahn,S.J., Burne,R.A., Siepel,A., Bustamante,C.D. and Stanhope,M.J.  Evolutionary and population genomics of the cavity causing bacteria Streptococcus mutans. Mol Biol Evol 30 (4), 881-893 (2013). 2. Lefebure,T., Suzuki,H., Pavinski Bitar,P.D., Burne,R.A. and Stanhope,M.J.  Direct Submission. Submitted (12-JUL-2010) Population Medicine and Diagnostic Sciences, Cornell University, Ithaca, NY 14853, USA. "
GCF_000339475.1,U2A,NA,NA,oral cavity,Turkey,NA,2005,NA,NA,NA," 1. Cornejo,O.E., Lefebure,T., Bitar,P.D., Lang,P., Richards,V.P., Eilertson,K., Do,T., Beighton,D., Zeng,L., Ahn,S.J., Burne,R.A., Siepel,A., Bustamante,C.D. and Stanhope,M.J.  Evolutionary and population genomics of the cavity causing bacteria Streptococcus mutans. Mol Biol Evol 30 (4), 881-893 (2013). 2. Lefebure,T., Suzuki,H., Pavinski Bitar,P.D., Burne,R.A. and Stanhope,M.J.  Direct Submission. Submitted (28-JUN-2010) Population Medicine and Diagnostic Sciences, Cornell University, Ithaca, NY 14853, USA. "
GCF_012642145.1,UAB-20,undetermined,NA,plaque,USA,Alabama,2009-04-21,NA,NA,NA," 1. Momeni,S.S., Beno,S.M., Baker,J.L., Edlund,A., Ghazal,T., Childers,N.K. and Wu,H.  Caries-Associated Biosynthetic Gene Clusters in Streptococcus mutans. J Dent Res 99 (8), 969-976 (2020). 2. Momeni,S. and Childers,N.K.  Direct Submission. Submitted (13-DEC-2018) Pediatric Dentistry, University of Alabama at Birmingham, LHRB 238, 701 19th Street South, Birmingham, AL 35294-0007, USA. "
GCF_020530765.1,KSM223,NA,NA,oral cavity,Japan,NA,2011-01/2011-08,NA,NA,NA," 1. Watanabe,A., Kawada-Matsuo,M., Le,M.N., Hisatsune,J., Oogai,Y., Nakano,Y., Nakata,M., Miyawaki,S., Sugai,M. and Komatsuzawa,H.  Comprehensive analysis of bacteriocins in Streptococcus mutans. Sci Rep 11 (1), 12963 (2021). 2. Le,M.N.T., Matsuo,M., Hisatsune,J., Sugai,M. and Komatsuzawa,H.  Direct Submission. Submitted (08-OCT-2021) Bacteriology, Hiroshima University, 1-2-3 Kasumi Minami-ku, Hiroshima, Hiroshima 7348551, Japan. "
GCF_020530205.1,KSM97,NA,NA,oral cavity,Japan,NA,2011-01/2011-08,NA,NA,NA," 1. Watanabe,A., Kawada-Matsuo,M., Le,M.N., Hisatsune,J., Oogai,Y., Nakano,Y., Nakata,M., Miyawaki,S., Sugai,M. and Komatsuzawa,H.  Comprehensive analysis of bacteriocins in Streptococcus mutans. Sci Rep 11 (1), 12963 (2021). 2. Le,M.N.T., Matsuo,M., Hisatsune,J., Sugai,M. and Komatsuzawa,H.  Direct Submission. Submitted (08-OCT-2021) Bacteriology, Hiroshima University, 1-2-3 Kasumi Minami-ku, Hiroshima, Hiroshima 7348551, Japan. "
GCF_000339075.1,SA41,NA,NA,oral cavity,South Africa,NA,2001,NA,NA,NA," 1. Cornejo,O.E., Lefebure,T., Bitar,P.D., Lang,P., Richards,V.P., Eilertson,K., Do,T., Beighton,D., Zeng,L., Ahn,S.J., Burne,R.A., Siepel,A., Bustamante,C.D. and Stanhope,M.J.  Evolutionary and population genomics of the cavity causing bacteria Streptococcus mutans. Mol Biol Evol 30 (4), 881-893 (2013). 2. Lefebure,T., Suzuki,H., Pavinski Bitar,P.D., Burne,R.A. and Stanhope,M.J.  Direct Submission. Submitted (09-JUL-2010) Population Medicine and Diagnostic Sciences, Cornell University, Ithaca, NY 14853, USA. "
GCF_000339335.1,N29,NA,NA,oral cavity,United Kingdom,NA,1991,NA,NA,NA," 1. Cornejo,O.E., Lefebure,T., Bitar,P.D., Lang,P., Richards,V.P., Eilertson,K., Do,T., Beighton,D., Zeng,L., Ahn,S.J., Burne,R.A., Siepel,A., Bustamante,C.D. and Stanhope,M.J.  Evolutionary and population genomics of the cavity causing bacteria Streptococcus mutans. Mol Biol Evol 30 (4), 881-893 (2013). 2. Lefebure,T., Suzuki,H., Pavinski Bitar,P.D., Burne,R.A. and Stanhope,M.J.  Direct Submission. Submitted (09-JUL-2010) Population Medicine and Diagnostic Sciences, Cornell University, Ithaca, NY 14853, USA. "
GCF_020530405.1,KSM87,NA,NA,oral cavity,Japan,NA,2011-01/2011-08,NA,NA,NA," 1. Watanabe,A., Kawada-Matsuo,M., Le,M.N., Hisatsune,J., Oogai,Y., Nakano,Y., Nakata,M., Miyawaki,S., Sugai,M. and Komatsuzawa,H.  Comprehensive analysis of bacteriocins in Streptococcus mutans. Sci Rep 11 (1), 12963 (2021). 2. Le,M.N.T., Matsuo,M., Hisatsune,J., Sugai,M. and Komatsuzawa,H.  Direct Submission. Submitted (08-OCT-2021) Bacteriology, Hiroshima University, 1-2-3 Kasumi Minami-ku, Hiroshima, Hiroshima 7348551, Japan. "
GCF_001069835.1,1002_SMUT,NA,NA,NA,USA,WA,NA,NA,NA,NA," 1. Roach,D.J., Burton,J.N., Lee,C., Stackhouse,B., Butler-Wu,S.M., Cookson,B.T., Shendure,J. and Salipante,S.J.  A Year of Infection in the Intensive Care Unit: Prospective Whole Genome Sequencing of Bacterial Clinical Isolates Reveals Cryptic Transmissions and Novel Microbiota. PLoS Genet 11 (7), e1005413 (2015). 2. Salipante,S.  Direct Submission. Submitted (25-NOV-2014) Laboratory Medicine, University of Washington, 1959 NE Pacific Street, Seattle, WA 98195, USA. "
GCF_032380115.1,08CA3,NA,NA,saliva,France,CHUBordeaux,2019-04-20/2021-04-06,NA,NA,NA," 1. Claisse,O., Samot,J., Donnet,L., Le Henaff,C. and Badet,M.-C.  Diversity of Streptococcus mutans in Parkinsonians'. Unpublished. 2. Claisse,O., Samot,J., Donnet,L., Le Henaff,C. and Badet,M.-C.  Direct Submission. Submitted (11-JUL-2022) Microbiologie, UR oenologie, 210 chemin de leysotte, Villenave d'Ornon 33140, France. "
GCF_000230145.1,TCI-85,NA,NA,dental plaque,Brazil,NA,2009,NA,NA,NA," 1. Snesrud,E.C., Bretz,W.A., Ong,K., Liu,J., Sanka,R., Singh,I., Venepally,P. and Peterson,S.N.  Direct Submission. Submitted (26-SEP-2011) The J. Craig Venter Institute, 9704 Medical Center Dr., Rockville, MD 20850, USA. "
GCF_000522825.1,B85SM-B,NA,NA,oral cavity,USA,NA,2008,NA,NA,NA," 1. Argimon,S., Konganti,K., Chen,H., Alekseyenko,A.V., Brown,S. and Caufield,P.W.  Comparative genomics of oral isolates of Streptococcus mutans by in silico genome subtraction does not reveal accessory DNA associated with severe early childhood caries. Infect Genet Evol 21, 269-278 (2014). 2. Argimon,S., Brown,S. and Caufield,P.  Direct Submission. Submitted (22-AUG-2012) New York University College of Dentistry, 345 East 24th St, New York, NY 10010, USA. "
