SNP statistics for 76 samples.
Quality Threshold: 30.0
Coverage Threshold: 5
Minimum SNP allele frequency: 0.9
sample	SNP Calls (all)	SNP Calls (het)	coverage(fold)	coverage(percent)	refCall	allPos	noCall	discardedRefCall	discardedVarCall	filteredVarCall	unhandledGenotype
EFA011.A0201.SM1	10300	3711	13.27	83.51	1687447	2032925	205686	124887	4594	5	6
XXX001.A161241.SM1	557	42	1.72	7.340000000000003	148569	2032925	622018	1253981	7798	2	0
XXX001.A161233.SM1	4029	9	4.57	46.45	940292	2032925	303906	778662	6034	2	0
FUT008.A0102.SM1	50	3	0.75	0.7099999999999937	14428	2032925	1110519	901019	6908	1	0
XXX001.A161116.SM1	3	0	0.23	0.060000000000002274	1173	2032925	1682808	346316	2625	0	0
XXX001.A16575.SM1	8880	3790	14.75	71.38	1442244	2032925	320599	257192	3999	5	6
XXX001.A161161.SM1	1358	34	2.5	17.019999999999996	344721	2032925	443878	1234326	8639	3	0
XXX001.A161239.SM1	5010	639	5.86	59.14	1197202	2032925	252487	571818	6406	2	0
XXX001.A16571.SM1	6446	395	13.85	66.22	1339805	2032925	376921	306470	3281	2	0
XXX001.A161237.SM1	2971	321	4.32	43.22	875587	2032925	292242	854482	7640	2	1
XXX001.A161358.SM1	6943	1414	7.56	71.31	1442640	2032925	270273	306825	6240	2	2
BOT005.A0101.SM1	6738	933	6.92	67.86	1372705	2032925	257493	390024	5959	4	2
XXX001.A161274.SM1	8316	31	10.7	73.9	1494007	2032925	294660	232993	2946	3	0
XXX001.A161155.SM1	345	11	1.49	4.430000000000007	89751	2032925	674941	1259819	8066	3	0
CMS002.A0201.SM1	189	0	1.17	3.510000000000005	71185	2032925	895158	1059691	6699	3	0
OSS001.A0101.SM1	10597	4775	17.57	83.85	1694068	2032925	213690	109998	4558	9	5
KPT003.A0101.SM1	11063	566	35.32	85.77	1732545	2032925	207846	79754	1705	11	1
XXX001.A161114.SM1	5	0	0.16	0.04999999999999716	941	2032925	1790368	239759	1852	0	0
CLL006.A0101.SM1	9426	2109	11.75	79.09	1598306	2032925	252279	168412	4485	13	4
ZAP001.A0201.SM1	74	0	0.94	1.1599999999999966	23606	2032925	941370	1060579	7296	0	0
EHU002.A0201.SM1	10592	78	63.74	83.7	1690983	2032925	267560	62498	1287	4	1
TIL003.A0101.SM1	10233	23	19.85	82.69	1670815	2032925	274544	75547	1781	5	0
SJN015.B0101.SM1	9832	362	66.95	88.1	1781163	2032925	155396	85359	1171	3	1
XXX001.A161110.SM1	36	10	0.5	0.3199999999999932	6366	2032925	1336749	684627	5144	3	0
CCA002.B0201.SM1	2726	449	3.82	36.1	731082	2032925	394080	896170	8859	5	3
XXX001.A161384.SM1	17	0	0.34	0.18999999999999773	3760	2032925	1529909	495740	3497	2	0
KIV002.A0101.SM1	16271	11635	25.63	88.85	1789988	2032925	138348	85064	3231	5	18
ALA002.B0102.SM1	1854	3	2.84	23.569999999999993	477203	2032925	483103	1063514	7248	3	0
MK5008.B0101.SM1	5626	1626	6.23	61.34	1241404	2032925	265344	512719	7826	4	2
GIN007.A0101.SM1	10874	86	72.53	84.77	1712400	2032925	289084	19567	992	6	2
SCA003.A0102.SM1	10735	54	61.22	84.47	1706455	2032925	280578	33992	1161	4	0
CDL001.A0201.SM1	8912	1519	11.87	80.1	1619368	2032925	229958	170676	4006	3	2
XXX001.A161183.SM1	5495	19	5.42	58.52	1184160	2032925	307186	530465	5617	2	0
SJN032.A0101.SM1	9317	45	17.38	82.7	1671975	2032925	262555	87131	1943	4	0
XXX001.A161173.SM1	766	2	1.94	10.209999999999994	206833	2032925	590304	1226672	8349	1	0
XAN005.A0102.SM1	9708	115	19.64	83.52	1688283	2032925	228313	104610	2007	4	0
PVA001.A0101.SM1	2767	84	3.46	32.05	648849	2032925	353689	1019903	7709	8	0
VIL009.A0102.SM1	10454	209	37.31	84.5	1707367	2032925	240205	73411	1484	4	0
MMI002.A0201.SM1	363	33	1.86	8.14	165100	2032925	538621	1317581	11258	1	1
XXX001.A161330.SM1	265	97	0.78	1.0799999999999983	21731	2032925	1211774	793561	5577	17	0
XXX001.A161123.SM1	4942	52	5.03	54.58	1104571	2032925	298064	619518	5827	3	0
TON003.A0102.SM1	131	9	1.0	2.180000000000007	44151	2032925	978911	1002758	6964	10	0
MIB002.A0102.SM1	706	90	2.42	15.439999999999998	313253	2032925	436715	1268131	14112	8	0
ALM029.A0101.SM1	10900	1240	44.77	87.36	1764980	2032925	216628	38922	1492	3	0
XXX001.A161203.SM1	61	10	0.73	0.6800000000000068	13856	2032925	1116331	896522	6152	3	0
XXX001.A161166.SM1	2238	7	2.95	23.810000000000002	481900	2032925	440682	1100020	8084	1	0
PLI001.A0101.SM1	10458	804	27.29	84.22	1701729	2032925	239285	79488	1949	15	1
XXX001.A161129.SM1	2423	265	3.55	33.650000000000006	681564	2032925	348694	991479	8763	2	0
VEK006.A0101.SM1	286	1	1.42	3.8299999999999983	77609	2032925	702334	1245063	7633	0	0
DON004.A0101.SM1	12030	2779	75.7	87.7	1770884	2032925	229262	19403	1336	5	5
OOH016.A0102.SM1	8654	35	9.98	78.44	1586029	2032925	296562	139264	2411	5	0
GIN005.A0101.SM1	10099	2133	31.17	87.53999999999999	1769473	2032925	172226	79030	2087	5	5
PIE034.B0101.SM1	11026	4924	15.93	83.45	1685436	2032925	224678	107970	3799	5	11
PGL001.A0103.SM1	11017	810	56.8	87.73	1772409	2032925	192125	56062	1297	13	2
XXX001.A161345.SM1	8311	48	11.66	76.32	1543295	2032925	278775	200046	2494	4	0
PAN049.A0101.SM1	12331	6958	17.06	87.37	1763855	2032925	203113	49598	4000	11	17
KGH-2B_merged	10656	26	29.56	87.71000000000001	1772439	2032925	233306	15292	1228	4	0
